filename,filepath,file_type,lines,complexity,purpose,dependencies,replacement_strategy,priority,status,estimated_effort,notes,last_updated
qu2cu.c,./venv/lib/python3.12/site-packages/fontTools/qu2cu/qu2cu.c,C,16767,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
bezierTools.c,./venv/lib/python3.12/site-packages/fontTools/misc/bezierTools.c,C,40157,High,FFT/Signal Processing,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",Numba/SciPy/External Library,High,Not Started,TBD,,2025-11-22
cu2qu.c,./venv/lib/python3.12/site-packages/fontTools/cu2qu/cu2qu.c,C,15774,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
iup.c,./venv/lib/python3.12/site-packages/fontTools/varLib/iup.c,C,19855,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
momentsPen.c,./venv/lib/python3.12/site-packages/fontTools/pens/momentsPen.c,C,13472,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
lexer.c,./venv/lib/python3.12/site-packages/fontTools/feaLib/lexer.c,C,17357,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
cfuncs.c,./venv/lib/python3.12/site-packages/Cython/Debugger/Tests/cfuncs.c,C,9,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
ObjectHandling.c,./venv/lib/python3.12/site-packages/Cython/Utility/ObjectHandling.c,C,3274,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Buffer.c,./venv/lib/python3.12/site-packages/Cython/Utility/Buffer.c,C,866,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
Builtins.c,./venv/lib/python3.12/site-packages/Cython/Utility/Builtins.c,C,811,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Overflow.c,./venv/lib/python3.12/site-packages/Cython/Utility/Overflow.c,C,385,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
CppSupport.cpp,./venv/lib/python3.12/site-packages/Cython/Utility/CppSupport.cpp,C++,152,Low,File I/O,"['new', 'typeinfo', 'stdexcept', 'ios', 'utility']",Python I/O,Medium,Not Started,1 week,,2025-11-22
NumpyImportArray.c,./venv/lib/python3.12/site-packages/Cython/Utility/NumpyImportArray.c,C,47,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
FunctionArguments.c,./venv/lib/python3.12/site-packages/Cython/Utility/FunctionArguments.c,C,1044,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
TestUtilityLoader.c,./venv/lib/python3.12/site-packages/Cython/Utility/TestUtilityLoader.c,C,13,Low,Utility/Unknown,[],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
MemoryView_C.c,./venv/lib/python3.12/site-packages/Cython/Utility/MemoryView_C.c,C,931,Low,File I/O,['stdio.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
UFuncs_C.c,./venv/lib/python3.12/site-packages/Cython/Utility/UFuncs_C.c,C,90,Low,File I/O,"['numpy/arrayobject.h', 'numpy/ufuncobject.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
Printing.c,./venv/lib/python3.12/site-packages/Cython/Utility/Printing.c,C,87,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
CythonFunction.c,./venv/lib/python3.12/site-packages/Cython/Utility/CythonFunction.c,C,1833,Medium,Mathematical Algorithm,['descrobject.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Complex.c,./venv/lib/python3.12/site-packages/Cython/Utility/Complex.c,C,379,Low,File I/O,"['complex', 'complex.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
StringTools.c,./venv/lib/python3.12/site-packages/Cython/Utility/StringTools.c,C,1380,Low,File I/O,"['string.h', 'string', 'string_view']",Python I/O,Medium,Not Started,1 week,,2025-11-22
ImportExport.c,./venv/lib/python3.12/site-packages/Cython/Utility/ImportExport.c,C,920,Medium,Mathematical Algorithm,['stdalign.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
TString.c,./venv/lib/python3.12/site-packages/Cython/Utility/TString.c,C,357,Low,File I/O,['internal/pycore_template.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
CMath.c,./venv/lib/python3.12/site-packages/Cython/Utility/CMath.c,C,105,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
CommonStructures.c,./venv/lib/python3.12/site-packages/Cython/Utility/CommonStructures.c,C,227,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
Embed.c,./venv/lib/python3.12/site-packages/Cython/Utility/Embed.c,C,122,Low,File I/O,"['floatingpoint.h', 'locale.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
ExtensionTypes.c,./venv/lib/python3.12/site-packages/Cython/Utility/ExtensionTypes.c,C,996,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Dataclasses.c,./venv/lib/python3.12/site-packages/Cython/Utility/Dataclasses.c,C,102,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
Optimize.c,./venv/lib/python3.12/site-packages/Cython/Utility/Optimize.c,C,1604,Medium,Mathematical Algorithm,['string.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
ModuleSetupCode.c,./venv/lib/python3.12/site-packages/Cython/Utility/ModuleSetupCode.c,C,3204,Medium,Mathematical Algorithm,"['stddef.h', 'stdint.h', 'structmember.h', 'math.h', 'pythread.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Profile.c,./venv/lib/python3.12/site-packages/Cython/Utility/Profile.c,C,733,Low,File I/O,"['compile.h', 'frameobject.h', 'traceback.h', 'internal/pycore_frame.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
Synchronization.c,./venv/lib/python3.12/site-packages/Cython/Utility/Synchronization.c,C,400,Low,File I/O,"['pythread.h', 'stdatomic.h', 'atomic', 'intrin.h', 'internal/pycore_critical_section.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
Exceptions.c,./venv/lib/python3.12/site-packages/Cython/Utility/Exceptions.c,C,1017,Low,File I/O,"['compile.h', 'frameobject.h', 'traceback.h', 'internal/pycore_frame.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
AsyncGen.c,./venv/lib/python3.12/site-packages/Cython/Utility/AsyncGen.c,C,1032,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
TypeConversion.c,./venv/lib/python3.12/site-packages/Cython/Utility/TypeConversion.c,C,1402,Medium,Mathematical Algorithm,"['cstdlib', 'string.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Coroutine.c,./venv/lib/python3.12/site-packages/Cython/Utility/Coroutine.c,C,2301,Low,File I/O,"['frameobject.h', 'internal/pycore_frame.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
arrayarray.h,./venv/lib/python3.12/site-packages/Cython/Utility/arrayarray.h,Header,168,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
ndarrayobject.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/ndarrayobject.h,Header,305,Low,File I/O,"['Python.h', 'ndarraytypes.h', 'dtype_api.h', '__multiarray_api.h', 'npy_2_compat.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
utils.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/utils.h,Header,38,Low,Utility/Unknown,[],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
__multiarray_api.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/__multiarray_api.h,Header,1629,Medium,Mathematical Algorithm,['numpy/_public_dtype_api_table.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
ufuncobject.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/ufuncobject.h,Header,344,Medium,Mathematical Algorithm,"['numpy/npy_math.h', 'numpy/npy_common.h', 'arrayobject.h', '__ufunc_api.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_common.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_common.h,Header,978,Medium,Mathematical Algorithm,"['Python.h', 'numpyconfig.h', 'npy_config.h', 'io.h', 'sys/types.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_2_complexcompat.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_2_complexcompat.h,Header,29,Medium,Mathematical Algorithm,['numpy/npy_math.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_cpu.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_cpu.h,Header,125,Low,File I/O,['numpyconfig.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
npy_2_compat.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_2_compat.h,Header,250,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
