wrapper_path,result,reason,priority
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_atom.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_bond.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_struct_util.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_structure.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_contour_file.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_contour_levels.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_contour_style.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_peak.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_peak_cluster.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_peak_list.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_slice_file.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/analysis/py_win_peak_list.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccpnmr/clouds/py_atom_coord.py,OK,Imported successfully (OK) — likely via repo-level stub or converted implementation.,Medium
